Organization Name,Site Name,Status,IP/Hostname,VPN Compatibility,Policy/Schedule,Block Page,Site Key,Location,Description,External ID
Synium,Synium HQ,protected,77.44.103.23,false, Baseline Policy (General),Synium Block Page,ec47a08129769a49fae1e676,"Synium House, High St, Henley-in-Arden B95 5FY, UK",-,""
Vekaplan UK Ltd,VK HQ,protected,188.39.132.26,false, Baseline Policy (General),Synium Block Page,583ccef0bc4af2c2a5728af3,"4 The Courtyards, Leeds LS14 2LB, UK",-,""
Sapienta Solutions Ltd,SAP-HQ,protected,-,false, Baseline Policy (General),Synium Block Page,2a89698abcb06d6448a3b7d3,"3 Woodview Dr, Birmingham B15 2JF, UK",-,""
Clive Henry Group,CHG-Clive Henry Group,protected,-,false, Baseline Policy (General),Synium Block Page,9427a16ff5ec41f065daff2c,"103 Colmore Row, Birmingham B3 3AG, UK",-,""
Clive Henry Group,CHG-Mprove,protected,-,false, Baseline Policy (General),Synium Block Page,5edff2febfc4c509cbfd91ef,"103 Colmore Row, Birmingham B3 3AG, UK",-,""
Clive Henry Group,CHG-Tech Canal,protected,-,false, Baseline Policy (General),Synium Block Page,d957802d9ac3187dacf1af06,"103 Colmore Row, Birmingham B3 3AG, UK",-,""
Clive Henry Group,CHG-Woodrow Mercer Healthcare,protected,-,false, Baseline Policy (General),Synium Block Page,03a6f2a4eec5128e6837490a,"103 Colmore Row, Birmingham B3 3AG, UK",-,""
Woodrow Mercer Recruitment,WMR-HQ Bham,protected,-,false, Baseline Policy (Woodrow),Synium Block Page,abd952e1bb2b94aa6e0f790b,"55 Colmore Row, Birmingham B3 2AA, UK",-,""
Woodrow Mercer Recruitment,WMR-Recruitment,protected,-,false, Baseline Policy (Woodrow),Synium Block Page,ea192992d5e6572a96a047ac,"55 Colmore Row, Birmingham B3 2AA, UK",-,""
Woodrow Mercer Recruitment,WMR-ColmoreRow,protected,-,false, Baseline Policy (Woodrow),Synium Block Page,028fa39e2f6c381d42b2f2be,"55 Colmore Row, Birmingham B3 2AA, UK",-,""
St Anne's Hostel,StA-HQ,protected,-,false,St Anne's > Baseline Policy,Synium Block Page,eb5e44b584fb713300104da2,"112 Moseley St, Birmingham B12 0RY, UK",-,""
Woodrow Mercer Recruitment,WMR-Possibl,protected,-,false, Baseline Policy (Woodrow),Synium Block Page,27465d2dd06d3c7e7823a329,-,-,""
Spring Housing Association,SH-Residents-CityRoad,protected,78.141.24.7,false,SH - Residents Policy,-,7679f3df644d4f5690044db6,"City Rd, Birmingham B16 0HG, UK",-,""
Spring Housing Association,SH-Residents-SpencerRd,protected,176.35.57.59,false,SH - Residents Policy,-,,"6-7 Spencer Rd, Coventry CV5 6PA, UK",-,""
Woodrow Mercer Recruitment,WMR-H&O,protected,-,false, Baseline Policy (Woodrow),Synium Block Page,4b0f24da56a3517eeb2b2ada,"55 Colmore Row, Birmingham B3 2AA, UK",-,""
Woodrow Mercer Recruitment,WMR-nGenium,protected,-,false, Baseline Policy (Woodrow),Synium Block Page,be745fde303dd96e8321c3d2,"55 Colmore Row, Birmingham B3 2AA, UK",-,""
