record_id,purchase_order_number,type,company_id,company_name,arrears_subscription_id,start_period,end_period,quantity,unit_of_measure,term,sku,description,details,rate_type,charge_type,price,subtotal,cost,cost_total,offered_by,billed_by_pax8,tax_collected_from,taxable,sales_tax,total,billing_fee,billing_fee_rate,partner_subtotal,customer_billed_less_tax,amount_due,currency_code,invoice_date,current_balance,totalDue,commitment_term
13296762,N/A,subscription,1598955,"AGS Gas Limited",,2024-12-01,2024-12-31,1.0000,User,Monthly,DRP-BUP-BBU-C100,"Dropsuite Business Backup [options: ]",,Flat,per,2.3500,2.35,1.6500,1.65,Pax8,false,p,false,0,1.65,0,0.000000,1.65,0,1.65,GBP,2024-12-01,0,1.65,
14303591,N/A,subscription,1588013,"Alderminster Group Ltd",,2024-11-25,2024-12-24,1.0000,User,Monthly,MST-NCE-102-C100,"Microsoft 365 Business Basic [New Commerce Experience]",,Flat,per,5.8800,5.88,5.0000,5.00,Pax8,false,p,false,0,5.00,0,0.000000,5.00,0,5.00,GBP,2024-12-01,0,83.77,Monthly
14301613,N/A,subscription,1588013,"Alderminster Group Ltd",,2024-11-25,2024-12-24,4.0000,User,Monthly,MST-NCE-104-C100,"Microsoft 365 Business Standard [New Commerce Experience]",,Flat,per,12.3600,49.44,10.5100,42.04,Pax8,false,p,false,0,42.04,0,0.000000,42.04,0,42.04,GBP,2024-12-01,0,83.77,Monthly
14303547,N/A,subscription,1588013,"Alderminster Group Ltd",,2024-11-25,2024-12-24,10.0000,User,Monthly,MST-NCE-179-C100,"Exchange Online (Plan 1) [New Commerce Experience]",,Flat,per,3.9600,39.60,3.3700,33.70,Pax8,false,p,false,0,33.70,0,0.000000,33.70,0,33.70,GBP,2024-12-01,0,83.77,Monthly
14371408,N/A,prorate,1588013,"Alderminster Group Ltd",,2024-11-28,2024-12-24,1.0000,User,Monthly,MST-NCE-179-C100,"Nov Partial: Exchange Online (Plan 1) [New Commerce Experience] quantity changed from 10.0000 to 11.0000 for a difference of 1.0000. 27 days of change",,Flat,per,3.5640,3.56,3.0330,3.03,Pax8,false,p,false,0,3.03,0,0.000000,3.03,0,3.03,GBP,2024-12-01,0,83.77,Monthly
14462601,N/A,subscription,1570732,"Boxer Enterprises Limited (T/A TTS IT Services)",,2024-12-01,2024-12-31,4.0000,User,Monthly,EXC-ESM-NFR-C100,"Exclaimer Email Signature Management - NFR (Pro) [options: ]",,Flat,per,1.3500,5.40,0.6800,2.72,Pax8,false,p,false,0,2.72,0,0.000000,2.72,0,2.72,GBP,2024-12-01,0,2.72,
14337135,N/A,subscription,1588046,"CE Marking Association",,2024-11-27,2024-12-26,10.0000,User,Monthly,MST-NCE-104-C100,"Microsoft 365 Business Standard [New Commerce Experience]",,Flat,per,12.3600,123.60,10.5100,105.10,Pax8,false,p,false,0,105.10,0,0.000000,105.10,0,105.10,GBP,2024-12-01,0,111.84,Monthly
14339227,N/A,subscription,1588046,"CE Marking Association",,2024-11-27,2024-12-26,2.0000,User,Monthly,MST-NCE-179-C100,"Exchange Online (Plan 1) [New Commerce Experience]",,Flat,per,3.9600,7.92,3.3700,6.74,Pax8,false,p,false,0,6.74,0,0.000000,6.74,0,6.74,GBP,2024-12-01,0,111.84,Monthly
14331854,N/A,subscription,1586150,"Carlton Blinds Ltd",,2024-11-27,2024-12-26,6.0000,User,Monthly,MST-NCE-179-C100,"Exchange Online (Plan 1) [New Commerce Experience]",,Flat,per,3.9600,23.76,3.3700,20.22,Pax8,false,p,false,0,20.22,0,0.000000,20.22,0,20.22,GBP,2024-12-01,0,23.59,Monthly
14215355,N/A,subscription,1586150,"Carlton Blinds Ltd",,2024-11-19,2024-12-18,1.0000,User,Monthly,MST-NCE-AAD-C100,"Microsoft Teams Essentials [New Commerce Experience]",,Flat,per,3.9600,3.96,3.3700,3.37,Pax8,false,p,false,0,3.37,0,0.000000,3.37,0,3.37,GBP,2024-12-01,0,23.59,Monthly
