record_id,purchase_order_number,type,company_id,company_name,arrears_subscription_id,start_period,end_period,quantity,unit_of_measure,term,sku,description,details,rate_type,charge_type,price,subtotal,cost,cost_total,offered_by,billed_by_pax8,tax_collected_from,taxable,sales_tax,total,billing_fee,billing_fee_rate,partner_subtotal,customer_billed_less_tax,amount_due,currency_code,invoice_date,current_balance,totalDue,commitment_term
37396018,N/A,one-time,1336314,"Affinitas IT",4012878,2024-10-01,2024-10-31,3.0000,User,One-Time,PRF-SEC-ADV-C100,"Proofpoint Essentials - ADVANCED - fintonacreditunion.com - Proofpoint Essentials - ADVANCED - 3 [options: ]","fintonacreditunion.com - Proofpoint Essentials - ADVANCED - 3",Flat,per,3.2300,9.69,2.2100,6.63,Pax8,false,p,false,0,6.63,0,0.000000,6.63,0,6.63,GBP,2024-11-01,0,168.58,
37396015,N/A,one-time,1336314,"Affinitas IT",4012878,2024-10-01,2024-10-31,23.0000,User,One-Time,PRF-SEC-ADV-C100,"Proofpoint Essentials - ADVANCED - jpm-contracts.com - Proofpoint Essentials - ADVANCED - 23 [options: ]","jpm-contracts.com - Proofpoint Essentials - ADVANCED - 23",Flat,per,3.2300,74.29,2.2100,50.83,Pax8,false,p,false,0,50.83,0,0.000000,50.83,0,50.83,GBP,2024-11-01,0,168.58,
37396013,N/A,one-time,1336314,"Affinitas IT",4012878,2024-10-01,2024-10-31,3.0000,User,One-Time,PRF-SEC-ADV-C100,"Proofpoint Essentials - ADVANCED - dungivencreditunion.co.uk - Proofpoint Essentials - ADVANCED - 3 [options: ]","dungivencreditunion.co.uk - Proofpoint Essentials - ADVANCED - 3",Flat,per,3.2300,9.69,2.2100,6.63,Pax8,false,p,false,0,6.63,0,0.000000,6.63,0,6.63,GBP,2024-11-01,0,168.58,
37396005,N/A,one-time,1336314,"Affinitas IT",4012878,2024-10-01,2024-10-31,0.0000,User,One-Time,PRF-SEC-ADV-C100,"Proofpoint Essentials - ADVANCED - affinitasit.com - Proofpoint Essentials - ADVANCED - 0 [options: ]","affinitasit.com - Proofpoint Essentials - ADVANCED - 0",Flat,per,3.2300,0.00,2.2100,0.00,Pax8,false,p,false,0,0.00,0,0.000000,0.00,0,0.00,GBP,2024-11-01,0,168.58,
37371764,N/A,one-time,1336314,"Affinitas IT",4644839,2024-10-01,2024-10-31,17.0000,Endpoint,One-Time,BDF-END-CSM-C100,"Bitdefender Cloud Security for MSP's - Arrears Charge - The Good Health Company - Bitdefender Europe - Product Type: Endpoint Security  - 17 [options: ]","The Good Health Company - Bitdefender Europe - Product Type: Endpoint Security  - 17",Volume,per,1.7000,28.90,1.2000,20.40,Pax8,false,p,false,0,20.40,0,0.000000,20.40,0,20.40,GBP,2024-11-01,0,168.58,
37371759,N/A,one-time,1336314,"Affinitas IT",4644839,2024-10-01,2024-10-31,7.0000,Endpoint,One-Time,BDF-END-CSM-C100,"Bitdefender Cloud Security for MSP's - Arrears Charge - JPM Contracts - Bitdefender Europe - Product Type: Endpoint Security  - 7 [options: ]","JPM Contracts - Bitdefender Europe - Product Type: Endpoint Security  - 7",Volume,per,1.7000,11.90,1.2000,8.40,Pax8,false,p,false,0,8.40,0,0.000000,8.40,0,8.40,GBP,2024-11-01,0,168.58,
37396009,N/A,one-time,1336314,"Affinitas IT",4012878,2024-10-01,2024-10-31,0.0000,User,One-Time,PRF-POI-ESS-SAT,"Proofpoint Essentials Security Awareness Training - Arrears Charge - affinitasit.com - Proofpoint Essentials Security Awareness Training - Arrears Charge - 0 [options: ]","affinitasit.com - Proofpoint Essentials Security Awareness Training - Arrears Charge - 0",Flat,per,0.8600,0.00,0.7100,0.00,Pax8,false,p,false,0,0.00,0,0.000000,0.00,0,0.00,GBP,2024-11-01,0,168.58,
37678642,N/A,one-time,1336314,"Affinitas IT",3995610,2024-10-01,2024-10-31,0.0000,User,One-Time,LMI-SEC-LPB-A100,"LastPass Business - Arrears Charge - Affinitas IT  - 0 [options: ]","Affinitas IT  - 0",Flat,per,4.6500,0.00,3.4900,0.00,Pax8,false,p,false,0,0.00,0,0.000000,0.00,0,0.00,GBP,2024-11-01,0,168.58,
13395538,N/A,subscription,1336314,"Affinitas IT",,2024-11-01,2024-11-30,8.0000,User,Monthly,MST-NCE-104-C100,"Microsoft 365 Business Standard [New Commerce Experience] [options: ]",,Flat,per,7.9900,63.92,8.7600,70.08,Pax8,false,p,false,0,70.08,0,0.000000,70.08,0,70.08,GBP,2024-11-01,0,168.58,1-Year
13395539,N/A,subscription,1336314,"Affinitas IT",,2024-11-01,2024-11-30,1.0000,User,Monthly,MST-NCE-180-C100,"Exchange Online (Plan 2) [New Commerce Experience] [options: ]",,Flat,per,5.1000,5.10,5.6100,5.61,Pax8,false,p,false,0,5.61,0,0.000000,5.61,0,5.61,GBP,2024-11-01,0,168.58,1-Year
4012864,N/A,subscription,1336314,"Affinitas IT",,2024-11-01,2024-11-30,10.0000,User,Monthly,EXC-SIG-MKN-C100,"Exclaimer Signature Marketing Cloud NFR [options: ]",,single,per,0.0000,0.00,0.0000,0.00,Pax8,false,p,false,0,0.00,0,0.000000,0.00,0,0.00,GBP,2024-11-01,0,168.58,
13889967,N/A,subscription,1484363,"Beragh Credit Union",,2024-11-01,2024-11-30,3.0000,User,Monthly,MST-NCE-104-C100,"Microsoft 365 Business Standard [New Commerce Experience] [options: ]",,Flat,per,12.3600,37.08,10.5100,31.53,Pax8,false,p,false,0,31.53,0,0.000000,31.53,0,31.53,GBP,2024-11-01,0,31.53,Monthly
13442055,N/A,subscription,1342631,"Cassidy and McCreesh Orthodontic Practice",,2024-11-01,2024-11-30,3.0000,User,Monthly,MST-NCE-104-C100,"Microsoft 365 Business Standard [New Commerce Experience] [options: ]",,Flat,per,10.3000,30.90,8.7600,26.28,Pax8,false,p,false,0,26.28,0,0.000000,26.28,0,26.28,GBP,2024-11-01,0,26.28,1-Year
12840454,N/A,subscription,1337370,"Conwell Contracts",,2024-11-01,2024-11-30,4.0000,User,Monthly,MST-NCE-100-C100,"Microsoft 365 Apps for Business [New Commerce Experience] [options: ]",,Flat,per,8.6000,34.40,7.3100,29.24,Pax8,false,p,false,0,29.24,0,0.000000,29.24,0,29.24,GBP,2024-11-01,0,54.44,1-Year
12840440,N/A,subscription,1337370,"Conwell Contracts",,2024-11-01,2024-11-30,9.0000,User,Monthly,MST-NCE-179-C100,"Exchange Online (Plan 1) [New Commerce Experience] [options: ]",,Flat,per,3.3000,29.70,2.8000,25.20,Pax8,false,p,false,0,25.20,0,0.000000,25.20,0,25.20,GBP,2024-11-01,0,54.44,1-Year
10578931,N/A,subscription,1391160,"Dungiven Credit Union",,2024-11-01,2024-11-30,2.0000,User,Monthly,MST-NCE-102-C100,"Microsoft 365 Business Basic [New Commerce Experience] [options: ]",,Flat,per,4.5000,9.00,4.1600,8.32,Pax8,false,p,false,0,8.32,0,0.000000,8.32,0,8.32,GBP,2024-11-01,0,17.08,1-Year
10578953,N/A,subscription,1391160,"Dungiven Credit Union",,2024-11-01,2024-11-30,1.0000,User,Monthly,MST-NCE-104-C100,"Microsoft 365 Business Standard [New Commerce Experience] [options: ]",,Flat,per,9.4000,9.40,8.7600,8.76,Pax8,false,p,false,0,8.76,0,0.000000,8.76,0,8.76,GBP,2024-11-01,0,17.08,1-Year
13879200,N/A,subscription,1484246,"Fintona Credit Union",,2024-11-01,2024-11-30,3.0000,User,Monthly,MST-NCE-104-C100,"Microsoft 365 Business Standard [New Commerce Experience] [options: ]",,Flat,per,12.3600,37.08,10.5100,31.53,Pax8,false,p,false,0,31.53,0,0.000000,31.53,0,31.53,GBP,2024-11-01,0,31.53,Monthly
13451366,N/A,subscription,1337373,"Gordon Robinson Property Sales",,2024-11-01,2024-11-30,2.0000,User,Monthly,MST-NCE-179-C100,"Exchange Online (Plan 1) [New Commerce Experience] [options: ]",,Flat,per,2.9100,5.82,2.8000,5.60,Pax8,false,p,false,0,5.60,0,0.000000,5.60,0,5.60,GBP,2024-11-01,0,5.60,1-Year
