record_id,purchase_order_number,type,company_id,company_name,arrears_subscription_id,start_period,end_period,quantity,unit_of_measure,term,sku,description,details,rate_type,charge_type,price,subtotal,cost,cost_total,offered_by,billed_by_pax8,tax_collected_from,taxable,sales_tax,total,billing_fee,billing_fee_rate,partner_subtotal,customer_billed_less_tax,amount_due,currency_code,invoice_date,current_balance,totalDue,commitment_term
16619091,N/A,subscription,1436349,"AITRADE, SIA_KORP",,2025-03-27,2025-04-26,1.0000,User,Monthly,MST-NCE-102-C100,"Microsoft 365 Business Basic [New Commerce Experience]",,Flat,per,6.7200,6.72,5.5100,5.51,Pax8,false,p,false,0,5.51,0,0.000000,5.51,0,5.51,EUR,2025-04-01,0,861.77,Monthly
16365488,N/A,prorate,1436349,"AITRADE, SIA_KORP",,2025-03-13,2025-04-11,32.0000,User,Monthly,MST-NCE-E3E-C100,"Mar Partial Office 365 E3 EEA (no Teams) [New Commerce Experience] Partial Term Charge (Coterm)",,Flat,per,26.8258,858.43,21.9968,703.90,Pax8,false,p,false,0,703.90,0,0.000000,703.90,0,703.90,EUR,2025-04-01,0,861.77,Monthly
16368035,N/A,prorate,1436349,"AITRADE, SIA_KORP",,2025-03-13,2025-04-11,32.0000,User,Monthly,MST-NCE-TEA-C100,"Mar Partial Microsoft Teams EEA [New Commerce Experience] Partial Term Charge (Coterm)",,Flat,per,5.8065,185.81,4.7613,152.36,Pax8,false,p,false,0,152.36,0,0.000000,152.36,0,152.36,EUR,2025-04-01,0,861.77,Monthly
16413001,N/A,subscription,1303577,"ALFOR, SIA_KORP",,2025-03-15,2026-03-14,5.0000,User,Annual,MST-NCE-102-C100,"Microsoft 365 Business Basic [New Commerce Experience]",,Flat,per,55.7800,278.90,55.1000,275.50,Pax8,false,p,false,0,275.50,0,0.000000,275.50,0,275.50,EUR,2025-04-01,0,10249.50,1-Year
16419439,N/A,subscription,1303577,"ALFOR, SIA_KORP",,2025-03-15,2026-03-14,86.0000,User,Annual,MST-NCE-104-C100,"Microsoft 365 Business Standard [New Commerce Experience]",,Flat,per,116.5300,10021.58,115.1300,9901.18,Pax8,false,p,false,0,9901.18,0,0.000000,9901.18,0,9901.18,EUR,2025-04-01,0,10249.50,1-Year
16410105,N/A,subscription,1303577,"ALFOR, SIA_KORP",,2025-03-15,2026-03-14,2.0000,User,Annual,MST-NCE-179-C100,"Exchange Online (Plan 1) [New Commerce Experience]",,Flat,per,36.8500,73.70,36.4100,72.82,Pax8,false,p,false,0,72.82,0,0.000000,72.82,0,72.82,EUR,2025-04-01,0,10249.50,1-Year
16283798,N/A,subscription,1388073,"ARIKO ReServ, SIA_MVU",,2025-03-10,2025-04-09,1.0000,User,Monthly,MST-NCE-104-C100,"Microsoft 365 Business Standard [New Commerce Experience]",,Flat,per,10.5000,10.50,9.5900,9.59,Pax8,false,p,false,0,9.59,0,0.000000,9.59,0,9.59,EUR,2025-04-01,0,9.59,1-Year
16579781,N/A,subscription,1387642,"Amber Outdoor, SIA_MVU",,2025-03-25,2025-04-24,1.0000,User,Monthly,MST-NCE-104-C100,"Microsoft 365 Business Standard [New Commerce Experience]",,Flat,per,12.6000,12.60,11.5100,11.51,Pax8,false,p,false,0,11.51,0,0.000000,11.51,0,11.51,EUR,2025-04-01,0,11.51,Monthly
16580364,N/A,subscription,1387653,"Amberfide Latvia, SIA_MVU",,2025-03-25,2025-04-24,2.0000,User,Monthly,MST-NCE-104-C100,"Microsoft 365 Business Standard [New Commerce Experience]",,Flat,per,12.6000,25.20,11.5100,23.02,Pax8,false,p,false,0,23.02,0,0.000000,23.02,0,23.02,EUR,2025-04-01,0,23.02,Monthly
16597836,N/A,subscription,1388070,"Andris Mihaļovs_PRIV",,2025-03-26,2025-04-25,2.0000,User,Monthly,MST-NCE-102-C100,"Microsoft 365 Business Basic [New Commerce Experience]",,Flat,per,6.1200,12.24,5.5100,11.02,Pax8,false,p,false,0,11.02,0,0.000000,11.02,0,11.02,EUR,2025-04-01,0,11.02,Monthly
